TRACE_BADAJOZ_PENR2009_V001
RASTER=/nuevos/FUGAWI/MAPAS/BADAJOZ 2_4.jpeg
RASTER_W=1536
RASTER_H=1170
PIXEL_DOMAIN=PIXEL_RASTER_ORIGINAL
CRS_ORIGEN=ED50_UTM_HUSO_29_30
CRS_DESTINO=ETRS89_UTM_HUSO_29_30
PENR2009_PATH=Repositorio:p92md87/Fugawi/PENR2009.gsb
PENR2009_BLOB_SHA=4bdfa4ddef1adc4a32f7daf0956fe65b91d4aafa
NODOS=126
CUADRILATEROS=104
CIERRE_INV_MAX_M=0.000000000
ID,E_ED50,N_ED50,HUSO,LAT_ED50,LON_ED50,LAT_ETRS89,LON_ETRS89,E_ETRS89,N_ETRS89,DLAT_ARCSEC,DLON_ARCSEC,CIERRE_INV_M
B02C02,680000.000,4400000.000,29,39.730226581535,-6.899701021425,39.729002985856,-6.901071362083,679877.609,4399786.286,-4.404944443,4.933226368,0.000000000
B02C03,700000.000,4400000.000,29,39.725771377736,-6.666507411766,39.724550387010,-6.667875971664,699877.194,4399786.261,-4.395566613,4.926815632,0.000000000
B02C04,720000.000,4400000.000,29,39.720848340173,-6.433368353893,39.719630663551,-6.434732556582,719876.995,4399786.320,-4.383635841,4.911129680,0.000000000
B02C05,740000.000,4400000.000,29,39.715457808790,-6.200289272051,39.714242795044,-6.201648978185,739876.807,4399786.308,-4.374049486,4.894942081,0.000000000
B02C06,757190.846,4400000.000,29,39.710451091020,-6.000000000000,39.709237048232,-6.001356798873,757067.412,4399786.150,-4.370554035,4.884475942,0.000000000
B02C07,260000.000,4400000.000,30,39.715457808790,-5.799710727949,39.714244788635,-5.801062924730,259890.699,4399793.795,-4.366872557,4.867908413,0.000000000
B02C08,280000.000,4400000.000,30,39.720848340173,-5.566631646107,39.719636239515,-5.567979775569,279890.511,4399793.599,-4.363562370,4.853266064,0.000000000
B02C09,300000.000,4400000.000,30,39.725771377736,-5.333492588234,39.724562055133,-5.334837380231,299890.265,4399793.613,-4.353561372,4.841251187,0.000000000
B02C10,320000.000,4400000.000,30,39.730226581535,-5.100298978575,39.729019561688,-5.101637526900,319890.263,4399793.568,-4.345271449,4.818773968,0.000000000
B02C11,340000.000,4400000.000,30,39.734213643800,-4.867056249395,39.733007281196,-4.868389882703,339890.142,4399793.344,-4.342905374,4.801079908,0.000000000
